gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,12.15,0.0,1784764914.747183
,,0.0,11.39,0.0,1784764915.7724638
,,0.0,11.31,0.0,1784764916.796568
,,0.0,43.67,96.0,1784764917.819752
,,0.0,69.83,95.0,1784764918.8650916
,,0.0,72.42,96.0,1784764919.8944876
,,0.0,75.59,96.0,1784764920.9305363
,,0.0,78.9,96.0,1784764921.968582
,,0.0,71.48,95.0,1784764922.9976463
,,0.0,41.14,96.0,1784764924.046505
,,0.0,69.1,96.0,1784764925.1012797
,,0.0,73.12,96.0,1784764926.1523123
,,0.0,76.22,96.0,1784764927.1998591
,,0.0,78.19,96.0,1784764928.2339122
,,0.0,80.09,96.0,1784764929.2829146
,,0.0,37.29,96.0,1784764930.329322
,,0.0,68.17,96.0,1784764931.3589005
,,0.0,73.51,96.0,1784764932.3980792
,,0.0,75.92,96.0,1784764933.4453864
,,0.0,77.39,96.0,1784764934.4903154
,,0.0,80.58,96.0,1784764935.5448635
,,0.0,52.7,96.0,1784764936.57182
,,0.0,57.93,66.0,1784764937.62613
,,0.0,72.56,96.0,1784764938.6770298
,,0.0,74.55,96.0,1784764939.702037
,,0.0,77.64,96.0,1784764940.7431858
,,0.0,80.33,94.0,1784764941.7844615
,,0.0,67.94,96.0,1784764942.8116817
,,0.0,46.61,96.0,1784764943.8643446
,,0.0,70.99,96.0,1784764944.907949
,,0.0,74.63,96.0,1784764945.968519
,,0.0,77.65,96.0,1784764947.0212605
,,0.0,81.25,96.0,1784764948.0654657
,,0.0,80.76,96.0,1784764949.098114
,,0.0,32.9,96.0,1784764950.1528354
,,0.0,13.12,0.0,1784764951.1804898
,,0.0,12.96,0.0,1784764952.203434
,,0.0,12.86,0.0,1784764953.2275822
,,0.0,12.79,0.0,1784764954.251819
,,0.0,12.72,0.0,1784764955.2754405
,,0.0,12.67,0.0,1784764956.299228
,,0.0,12.6,0.0,1784764957.3227496
,,0.0,12.59,0.0,1784764958.3453639
,,0.0,22.05,0.0,1784764959.3686318
,,0.0,69.89,96.0,1784764960.4165735
,,0.0,73.9,96.0,1784764961.4416845
,,0.0,77.88,96.0,1784764962.4727278
,,0.0,77.88,96.0,1784764963.4967508
,,0.0,81.31,96.0,1784764964.54003
,,0.0,81.38,96.0,1784764965.567306
,,0.0,84.38,96.0,1784764966.6227589
,,0.0,84.44,96.0,1784764967.6469328
,,0.0,84.74,96.0,1784764968.6734104
,,0.0,84.31,96.0,1784764969.6994429
,,0.0,88.49,96.0,1784764970.7484162
,,0.0,86.66,96.0,1784764971.771516
,,0.0,88.59,96.0,1784764972.8283627
,,0.0,68.86,96.0,1784764973.8538134
,,0.0,45.29,96.0,1784764974.8970902
,,0.0,71.37,96.0,1784764975.9415262
,,0.0,75.78,96.0,1784764976.9785287
,,0.0,78.69,96.0,1784764978.0134337
,,0.0,80.09,96.0,1784764979.039786
,,0.0,82.53,96.0,1784764980.0854528
,,0.0,84.02,96.0,1784764981.122617
,,0.0,83.2,96.0,1784764982.1653454
,,0.0,85.82,96.0,1784764983.1935039
,,0.0,86.13,96.0,1784764984.220742
,,0.0,88.67,96.0,1784764985.253795
,,0.0,87.5,96.0,1784764986.299718
,,0.0,88.81,96.0,1784764987.3238704
,,0.0,88.83,96.0,1784764988.350584
,,0.0,61.85,95.0,1784764989.3971171
,,0.0,52.06,67.0,1784764990.4467866
,,0.0,72.84,96.0,1784764991.5105686
,,0.0,76.87,96.0,1784764992.5561364
,,0.0,80.76,96.0,1784764993.6088848
,,0.0,82.05,95.0,1784764994.6604705
,,0.0,82.59,96.0,1784764995.6868224
,,0.0,84.92,96.0,1784764996.7132418
,,0.0,84.96,96.0,1784764997.761157
,,0.0,86.33,96.0,1784764998.7878582
,,0.0,86.54,96.0,1784764999.8137739
,,0.0,89.32,96.0,1784765000.8547468
,,0.0,86.08,96.0,1784765001.878495
,,0.0,89.55,96.0,1784765002.9126232
,,0.0,89.99,96.0,1784765003.9392715
,,0.0,51.84,96.0,1784765004.962751
,,0.0,57.23,96.0,1784765006.0159771
,,0.0,74.31,96.0,1784765007.055812
,,0.0,77.93,96.0,1784765008.1050477
,,0.0,81.34,96.0,1784765009.1619046
,,0.0,82.34,96.0,1784765010.2061524
,,0.0,82.83,96.0,1784765011.244322
,,0.0,86.89,96.0,1784765012.2788355
,,0.0,85.86,95.0,1784765013.3082616
,,0.0,87.68,96.0,1784765014.3696787
,,0.0,87.78,96.0,1784765015.4173977
,,0.0,88.67,96.0,1784765016.4668157
,,0.0,87.21,96.0,1784765017.4900184
,,0.0,88.35,96.0,1784765018.5463922
,,0.0,90.05,96.0,1784765019.572502
,,0.0,41.84,96.0,1784765020.5986574
,,0.0,64.11,96.0,1784765021.6488843
,,0.0,76.35,96.0,1784765022.6956959
,,0.0,78.47,96.0,1784765023.7405524
,,0.0,80.29,96.0,1784765024.782893
,,0.0,84.03,96.0,1784765025.8225422
,,0.0,83.78,96.0,1784765026.8529537
,,0.0,87.12,96.0,1784765027.8945172
,,0.0,86.34,96.0,1784765028.925267
,,0.0,87.85,96.0,1784765029.9759364
,,0.0,88.66,96.0,1784765031.025387
,,0.0,86.58,96.0,1784765032.051465
,,0.0,89.5,96.0,1784765033.082577
,,0.0,89.1,96.0,1784765034.1082788
,,0.0,88.78,96.0,1784765035.1389565
,,0.0,36.85,96.0,1784765036.204665
,,0.0,14.76,0.0,1784765037.242828
