gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,11.19,1784082176.604129
,,29.78,1784082177.628359
,,36.96,1784082178.6586003
,,37.78,1784082179.7088385
,,48.88,1784082180.7495308
,,47.24,1784082181.7974594
,,54.25,1784082182.8479414
,,59.1,1784082183.8820434
,,56.33,1784082184.9257722
,,59.34,1784082185.9712408
,,28.25,1784082187.0117245
,,39.81,1784082188.0452855
,,52.25,1784082189.0677383
,,65.4,1784082190.1020787
,,62.58,1784082191.148152
,,65.1,1784082192.191616
,,65.29,1784082193.230032
,,61.25,1784082194.2674766
,,65.71,1784082195.312611
,,20.27,1784082196.3486533
,,67.34,1784082197.4421527
,,39.61,1784082198.4683716
,,62.97,1784082199.510082
,,59.52,1784082200.5377588
,,62.77,1784082201.5749505
,,62.13,1784082202.6062233
,,61.31,1784082203.652747
,,62.99,1784082204.6871407
,,55.09,1784082205.7158148
,,32.71,1784082206.7601867
,,32.67,1784082207.8016305
,,34.03,1784082208.8460298
,,32.73,1784082209.8945315
,,32.73,1784082210.9354258
,,32.77,1784082211.9796035
,,32.78,1784082213.021988
,,32.8,1784082214.0670998
,,34.11,1784082215.110427
,,32.75,1784082216.153125
,,32.81,1784082217.1955907
,,32.78,1784082218.2394738
,,32.81,1784082219.2833562
,,32.82,1784082220.3264914
,,32.9,1784082221.3738334
,,32.95,1784082222.4152598
,,32.96,1784082223.4566932
,,32.92,1784082224.5007398
,,32.97,1784082225.5420988
,,24.22,1784082226.5857015
,,32.88,1784082227.6271384
,,32.95,1784082228.6754813
,,32.92,1784082229.7223659
,,33.08,1784082230.7585363
,,33.0,1784082231.8013744
,,25.1,1784082232.8469737
,,32.95,1784082233.8911872
,,33.06,1784082234.9324412
,,33.06,1784082235.9786136
,,33.03,1784082237.0208204
,,33.1,1784082238.0667
