gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,12.27,0.0,1785363720.776533
,,0.0,25.29,0.0,1785363721.8052254
,,0.0,31.83,77.0,1785363722.8422031
,,0.0,11.54,0.0,1785363723.8643506
,,0.0,34.69,0.0,1785363724.8885953
,,0.0,34.85,93.0,1785363725.931101
,,0.0,42.68,95.0,1785363726.9559383
,,0.0,49.19,87.0,1785363728.0003994
,,0.0,44.73,96.0,1785363729.057934
,,0.0,58.21,96.0,1785363730.102921
,,0.0,60.11,96.0,1785363731.1626103
,,0.0,56.56,96.0,1785363732.2065625
,,0.0,48.49,11.0,1785363733.2568521
,,0.0,50.05,3.0,1785363734.3065343
,,0.0,58.33,96.0,1785363735.3521667
,,0.0,60.73,91.0,1785363736.3926187
,,0.0,61.72,96.0,1785363737.4315643
,,0.0,54.72,96.0,1785363738.4772947
,,0.0,42.7,0.0,1785363739.5062535
,,0.0,61.93,96.0,1785363740.5585995
,,0.0,62.35,96.0,1785363741.586988
,,0.0,62.86,96.0,1785363742.632598
,,0.0,62.57,58.0,1785363743.66737
,,0.0,59.53,84.0,1785363744.7142909
,,0.0,35.62,96.0,1785363745.7515895
,,0.0,12.53,0.0,1785363746.7779584
,,0.0,33.8,0.0,1785363747.8024595
,,0.0,77.83,96.0,1785363748.8468037
,,0.0,73.73,96.0,1785363749.8992667
,,0.0,73.22,8.0,1785363750.9322824
,,0.0,47.51,96.0,1785363751.9782605
,,0.0,49.53,96.0,1785363753.0263567
,,0.0,49.53,96.0,1785363754.0775588
,,0.0,49.84,96.0,1785363755.1295931
,,0.0,43.07,96.0,1785363756.1865852
,,0.0,41.09,96.0,1785363757.2308843
,,0.0,12.88,0.0,1785363758.2661836
,,0.0,12.66,0.0,1785363759.2903013
,,0.0,12.63,0.0,1785363760.314075
,,0.0,12.58,0.0,1785363761.3378956
,,0.0,12.58,0.0,1785363762.3618984
,,0.0,12.49,0.0,1785363763.3852708
,,0.0,12.4,0.0,1785363764.4087434
,,0.0,12.32,0.0,1785363765.4334373
,,0.0,27.08,0.0,1785363766.4579816
,,0.0,81.89,96.0,1785363767.4857662
,,0.0,84.21,96.0,1785363768.5394096
,,0.0,83.69,96.0,1785363769.5874023
,,0.0,85.23,96.0,1785363770.6116223
,,0.0,85.62,96.0,1785363771.6447947
,,0.0,86.1,96.0,1785363772.6782794
,,0.0,86.29,96.0,1785363773.704692
,,0.0,87.52,96.0,1785363774.7399979
,,0.0,56.25,96.0,1785363775.7851653
,,0.0,44.63,96.0,1785363776.8376348
,,0.0,36.44,96.0,1785363777.8786998
,,0.0,47.53,15.0,1785363778.9034111
,,0.0,45.33,96.0,1785363779.9555018
,,0.0,45.6,96.0,1785363781.0089695
,,0.0,33.24,23.0,1785363782.0596337
,,0.0,18.05,0.0,1785363783.0842967
,,0.0,17.78,0.0,1785363784.109864
,,0.0,15.37,0.0,1785363785.1377058
,,0.0,17.74,0.0,1785363786.165355
,,0.0,22.86,49.0,1785363787.1905332
,,0.0,22.97,0.0,1785363788.2164512
,,0.0,18.09,9.0,1785363789.2525275
,,0.0,23.19,0.0,1785363790.276779
,,0.0,23.07,0.0,1785363791.3015404
,,0.0,17.85,29.0,1785363792.328568
,,0.0,39.57,0.0,1785363793.3547332
,,0.0,37.16,0.0,1785363794.401229
,,0.0,28.56,68.0,1785363795.4311907
,,0.0,30.37,96.0,1785363796.4562275
,,0.0,39.95,0.0,1785363797.5012233
,,0.0,28.37,0.0,1785363798.538268
,,0.0,28.2,86.0,1785363799.5630286
,,0.0,66.75,83.0,1785363800.5882547
,,0.0,41.7,96.0,1785363801.6392648
,,0.0,41.17,32.0,1785363802.6792228
,,0.0,29.82,0.0,1785363803.7075956
,,0.0,29.75,0.0,1785363804.7329154
,,0.0,39.61,96.0,1785363805.757102
,,0.0,36.6,84.0,1785363806.7977633
,,0.0,29.67,0.0,1785363807.8259559
,,0.0,57.82,0.0,1785363808.8503976
,,0.0,74.33,96.0,1785363809.897474
,,0.0,77.99,96.0,1785363810.9336896
,,0.0,79.18,96.0,1785363811.9707263
,,0.0,81.99,96.0,1785363812.9992998
,,0.0,39.03,96.0,1785363814.0349932
,,0.0,33.88,0.0,1785363815.059669
,,0.0,33.82,0.0,1785363816.08368
,,0.0,35.99,0.0,1785363817.1087832
,,0.0,44.29,0.0,1785363818.142301
,,0.0,38.97,96.0,1785363819.179603
,,0.0,33.76,96.0,1785363820.2071187
,,0.0,43.94,88.0,1785363821.2322028
,,0.0,34.53,96.0,1785363822.2793205
,,0.0,34.53,96.0,1785363823.3273268
,,0.0,34.58,96.0,1785363824.3752658
,,0.0,34.49,96.0,1785363825.4198985
,,0.0,34.6,96.0,1785363826.467761
,,0.0,34.99,96.0,1785363827.5139987
,,0.0,35.4,96.0,1785363828.5517797
,,0.0,34.51,96.0,1785363829.599496
,,0.0,34.53,96.0,1785363830.64747
,,0.0,34.52,96.0,1785363831.6967309
,,0.0,34.51,96.0,1785363832.7481437
,,0.0,34.64,96.0,1785363833.7931392
,,0.0,35.0,96.0,1785363834.8446536
,,0.0,35.04,96.0,1785363835.8959384
,,0.0,35.03,96.0,1785363836.9476383
,,0.0,35.03,96.0,1785363837.996922
,,0.0,35.05,96.0,1785363839.0481255
,,0.0,35.0,96.0,1785363840.0940497
,,0.0,35.86,95.0,1785363841.1429024
,,0.0,34.54,96.0,1785363842.1881673
,,0.0,34.58,96.0,1785363843.232821
,,0.0,34.6,96.0,1785363844.282564
,,0.0,34.59,96.0,1785363845.327659
,,0.0,34.6,96.0,1785363846.3756745
,,0.0,34.62,96.0,1785363847.4219391
,,0.0,34.88,96.0,1785363848.4710755
,,0.0,35.01,96.0,1785363849.5191154
,,0.0,35.02,96.0,1785363850.5683339
,,0.0,35.01,96.0,1785363851.6188421
,,0.0,35.1,96.0,1785363852.669391
,,0.0,35.06,96.0,1785363853.7145813
,,0.0,35.07,96.0,1785363854.7654438
,,0.0,35.03,96.0,1785363855.8119678
,,0.0,35.01,96.0,1785363856.8632312
,,0.0,35.06,96.0,1785363857.9146442
,,0.0,35.08,96.0,1785363858.961666
,,0.0,35.08,96.0,1785363860.0082405
,,0.0,35.04,96.0,1785363861.0554235
,,0.0,35.12,96.0,1785363862.1062963
,,0.0,35.11,96.0,1785363863.153319
,,0.0,35.13,96.0,1785363864.204657
,,0.0,35.12,96.0,1785363865.2499545
,,0.0,35.07,96.0,1785363866.3026636
,,0.0,30.27,96.0,1785363867.3580081
,,0.0,32.12,96.0,1785363868.384261
,,0.0,34.58,96.0,1785363869.432187
,,0.0,34.93,96.0,1785363870.478064
,,0.0,35.02,96.0,1785363871.524568
,,0.0,35.04,96.0,1785363872.5709789
,,0.0,35.03,96.0,1785363873.6190941
,,0.0,35.01,96.0,1785363874.667418
,,0.0,35.01,96.0,1785363875.7166474
,,0.0,35.02,96.0,1785363876.7667947
