gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,10.99,1784081324.045901
,,31.83,1784081325.0705905
,,36.01,1784081326.115195
,,38.03,1784081327.1589894
,,41.6,1784081328.1982453
,,44.28,1784081329.2476974
,,44.68,1784081330.2890124
,,50.33,1784081331.3364959
,,46.62,1784081332.373603
,,50.44,1784081333.4176674
,,41.49,1784081334.457965
,,58.12,1784081335.5046375
,,59.53,1784081336.5612552
,,55.79,1784081337.6118233
,,56.37,1784081338.6568973
,,56.71,1784081339.7123828
,,59.26,1784081340.7580574
,,59.34,1784081341.8175917
,,56.51,1784081342.8573332
,,56.95,1784081343.8983357
,,57.4,1784081344.9369042
,,61.3,1784081345.9836605
,,58.26,1784081347.0323052
,,27.19,1784081348.0728228
,,61.53,1784081349.1178603
,,65.6,1784081350.1589575
,,58.35,1784081351.1972663
,,63.51,1784081352.2495093
,,67.27,1784081353.2906876
,,57.49,1784081354.332854
,,65.9,1784081355.3732395
,,59.87,1784081356.408064
,,63.53,1784081357.455657
,,67.46,1784081358.496771
,,57.19,1784081359.5406778
,,65.27,1784081360.5883713
,,61.85,1784081361.6271658
,,62.67,1784081362.6716743
,,67.18,1784081363.7143064
,,59.08,1784081364.7552218
,,65.16,1784081365.7940042
,,65.48,1784081366.8326404
,,61.23,1784081367.8843658
,,67.1,1784081368.9293714
,,60.16,1784081369.9739237
,,64.66,1784081371.01679
,,68.72,1784081372.0597827
,,57.66,1784081373.0987825
,,66.36,1784081374.1502595
,,58.12,1784081375.191808
,,35.06,1784081376.25317
,,35.04,1784081377.3010225
,,35.05,1784081378.3492665
,,35.0,1784081379.3924658
,,35.01,1784081380.4340115
,,35.1,1784081381.47724
,,36.31,1784081382.525841
,,35.02,1784081383.575044
,,35.05,1784081384.622897
,,35.05,1784081385.6707375
,,35.05,1784081386.7230864
,,35.05,1784081387.7712986
,,35.08,1784081388.8168592
,,36.06,1784081389.8584578
,,35.15,1784081390.9170437
,,35.08,1784081391.9618719
,,35.14,1784081393.0076833
,,35.12,1784081394.0503635
,,35.11,1784081395.0934777
,,35.09,1784081396.1478727
,,35.11,1784081397.196485
,,35.14,1784081398.2375393
,,35.46,1784081399.2821681
,,35.16,1784081400.3321676
,,35.17,1784081401.3779302
,,35.14,1784081402.4237714
,,35.19,1784081403.4751146
,,35.24,1784081404.5246122
,,35.21,1784081405.5730267
,,35.27,1784081406.6222506
,,35.31,1784081407.6675873
,,35.28,1784081408.7201073
,,35.3,1784081409.7742271
,,35.55,1784081410.8221369
,,35.24,1784081411.863567
,,35.23,1784081412.910593
,,35.25,1784081413.957679
,,35.3,1784081415.0101786
,,35.31,1784081416.0564365
,,35.37,1784081417.1017802
,,35.37,1784081418.1483188
,,35.34,1784081419.1928122
,,35.33,1784081420.2410114
,,35.36,1784081421.290519
,,35.38,1784081422.3340583
,,35.4,1784081423.384244
