gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,11.9,0.0,1785366178.6445007
,,0.0,11.17,0.0,1785366179.6707256
,,0.0,11.17,0.0,1785366180.6953359
,,0.0,11.15,0.0,1785366181.7182963
,,0.0,11.16,0.0,1785366182.7414672
,,0.0,11.18,0.0,1785366183.7655668
,,0.0,11.18,0.0,1785366184.7901947
,,0.0,11.2,0.0,1785366185.8123405
,,0.0,11.2,0.0,1785366186.8366106
,,0.0,11.18,0.0,1785366187.8590946
,,0.0,24.11,0.0,1785366188.8811903
,,0.0,32.94,96.0,1785366189.922549
,,0.0,36.22,96.0,1785366190.9746828
,,0.0,38.23,87.0,1785366192.0147371
,,0.0,41.61,85.0,1785366193.0731838
,,0.0,40.91,96.0,1785366194.1240914
,,0.0,48.41,96.0,1785366195.1682115
,,0.0,51.05,85.0,1785366196.2095895
,,0.0,48.44,83.0,1785366197.2594018
,,0.0,30.14,1.0,1785366198.304131
,,0.0,38.22,96.0,1785366199.540843
,,0.0,47.62,96.0,1785366200.5753548
,,0.0,56.15,96.0,1785366201.640573
,,0.0,60.54,96.0,1785366202.6864026
,,0.0,55.95,96.0,1785366203.754597
,,0.0,55.54,70.0,1785366204.7997386
,,0.0,55.96,96.0,1785366205.8464782
,,0.0,55.5,96.0,1785366206.9154508
,,0.0,55.98,96.0,1785366207.9722967
,,0.0,59.65,96.0,1785366209.017673
,,0.0,58.45,72.0,1785366210.0664263
,,0.0,56.18,96.0,1785366211.1061223
,,0.0,31.5,96.0,1785366212.1469173
,,0.0,60.72,3.0,1785366213.1725924
,,0.0,66.93,96.0,1785366214.2370276
,,0.0,56.92,96.0,1785366215.2658896
,,0.0,64.08,96.0,1785366216.3262959
,,0.0,59.63,88.0,1785366217.3878162
,,0.0,62.3,96.0,1785366218.4356985
,,0.0,67.93,96.0,1785366219.4955628
,,0.0,55.5,96.0,1785366220.5418987
,,0.0,66.16,96.0,1785366221.6027439
,,0.0,58.67,96.0,1785366222.662607
,,0.0,64.26,96.0,1785366223.696681
,,0.0,63.88,96.0,1785366224.7317264
,,0.0,61.66,96.0,1785366225.7713788
,,0.0,67.52,96.0,1785366226.823453
,,0.0,57.66,95.0,1785366227.8547053
,,0.0,65.33,96.0,1785366228.9159753
,,0.0,60.53,96.0,1785366229.9730864
,,0.0,62.94,96.0,1785366231.018332
,,0.0,68.8,96.0,1785366232.0695128
,,0.0,55.48,96.0,1785366233.1207414
,,0.0,67.37,96.0,1785366234.1864204
,,0.0,60.01,96.0,1785366235.2356222
,,0.0,64.38,96.0,1785366236.2884777
,,0.0,64.16,96.0,1785366237.3203728
,,0.0,13.29,0.0,1785366238.3790486
,,0.0,12.98,0.0,1785366239.4055595
,,0.0,52.61,96.0,1785366240.4323955
,,0.0,66.56,96.0,1785366241.487867
,,0.0,71.38,96.0,1785366242.5595348
,,0.0,74.16,96.0,1785366243.6153002
,,0.0,76.43,96.0,1785366244.674473
,,0.0,50.85,96.0,1785366245.7072048
,,0.0,52.19,69.0,1785366246.7620173
,,0.0,66.92,96.0,1785366247.8280995
,,0.0,70.86,96.0,1785366248.8834257
,,0.0,73.52,96.0,1785366249.9234526
,,0.0,76.51,96.0,1785366250.9772582
,,0.0,57.81,96.0,1785366252.0120332
,,0.0,47.83,96.0,1785366253.064899
,,0.0,65.13,96.0,1785366254.1330712
,,0.0,69.51,96.0,1785366255.1712074
,,0.0,74.18,96.0,1785366256.2006996
,,0.0,76.25,96.0,1785366257.2291875
,,0.0,68.32,96.0,1785366258.28774
,,0.0,42.55,96.0,1785366259.3414478
,,0.0,65.12,96.0,1785366260.3934467
,,0.0,69.31,96.0,1785366261.4499369
,,0.0,73.76,96.0,1785366262.510103
,,0.0,75.36,96.0,1785366263.541357
,,0.0,74.25,96.0,1785366264.6055565
,,0.0,38.88,96.0,1785366265.6649873
,,0.0,64.87,96.0,1785366266.7405705
,,0.0,69.71,96.0,1785366267.786929
,,0.0,73.88,96.0,1785366268.8429823
,,0.0,75.19,96.0,1785366269.8739533
,,0.0,78.56,96.0,1785366270.927181
,,0.0,37.57,96.0,1785366271.9536724
,,0.0,14.06,0.0,1785366272.9970038
,,0.0,13.72,0.0,1785366274.0221012
,,0.0,13.54,0.0,1785366275.049033
,,0.0,13.42,0.0,1785366276.0734513
,,0.0,13.34,0.0,1785366277.098903
,,0.0,13.26,0.0,1785366278.1237814
,,0.0,13.22,0.0,1785366279.1484303
,,0.0,13.14,0.0,1785366280.1733336
,,0.0,22.04,0.0,1785366281.1992273
,,0.0,63.29,96.0,1785366282.2409437
,,0.0,68.64,96.0,1785366283.3086195
,,0.0,73.13,96.0,1785366284.3422635
,,0.0,73.61,96.0,1785366285.3699234
,,0.0,77.57,96.0,1785366286.409998
,,0.0,78.15,96.0,1785366287.4348774
,,0.0,81.43,95.0,1785366288.476112
,,0.0,82.38,96.0,1785366289.5068777
,,0.0,82.76,96.0,1785366290.5681558
,,0.0,86.28,96.0,1785366291.632073
,,0.0,82.33,96.0,1785366292.657821
,,0.0,86.94,96.0,1785366293.682983
