gpu_mem_total_mib,gpu_mem_used_mib,gpu_power_w,t
,,12.16,1784241387.6207304
,,33.56,1784241388.6518626
,,36.06,1784241389.6939056
,,38.92,1784241390.7446415
,,42.64,1784241391.7982996
,,42.14,1784241392.8427775
,,47.13,1784241393.8915336
,,48.27,1784241394.9360871
,,50.33,1784241395.996827
,,49.67,1784241397.0423224
,,45.63,1784241398.0957706
,,56.4,1784241399.143148
,,60.82,1784241400.1988482
,,55.89,1784241401.240569
,,56.37,1784241402.283943
,,56.65,1784241403.338847
,,61.2,1784241404.384368
,,57.72,1784241405.4388547
,,56.28,1784241406.48975
,,56.6,1784241407.533354
,,58.76,1784241408.5795503
,,60.85,1784241409.6159492
,,56.45,1784241410.6626327
,,39.31,1784241411.7112896
,,52.04,1784241412.7367616
,,64.74,1784241413.780742
,,60.32,1784241414.8181138
,,62.17,1784241415.8735807
,,66.38,1784241416.9160936
,,57.81,1784241417.959106
,,63.85,1784241419.0033536
,,67.98,1784241420.0490952
,,55.9,1784241421.0924761
,,65.41,1784241422.1377993
,,60.81,1784241423.180949
,,62.74,1784241424.2295055
,,67.24,1784241425.2782056
,,58.11,1784241426.3216171
,,64.47,1784241427.3744173
,,68.39,1784241428.4145553
,,57.17,1784241429.4531631
,,66.07,1784241430.502035
,,60.98,1784241431.5440047
,,63.53,1784241432.5952475
,,67.23,1784241433.63889
,,58.63,1784241434.6788945
,,65.19,1784241435.7341847
,,68.47,1784241436.7799551
,,57.47,1784241437.8170888
,,66.65,1784241438.8590612
,,58.26,1784241439.912623
,,34.97,1784241440.9668365
,,34.91,1784241442.0129883
,,34.9,1784241443.0607374
,,34.85,1784241444.1079116
,,34.89,1784241445.1561027
,,34.9,1784241446.20354
,,36.05,1784241447.2542949
,,34.81,1784241448.3050501
,,34.82,1784241449.3515341
,,34.77,1784241450.4035134
,,34.75,1784241451.458774
,,34.82,1784241452.5082161
,,34.8,1784241453.5588684
,,34.87,1784241454.601546
,,34.81,1784241455.6509101
,,34.79,1784241456.702448
,,34.8,1784241457.749779
,,34.82,1784241458.798787
,,34.88,1784241459.8403077
,,36.05,1784241460.8833995
,,34.81,1784241461.927909
,,34.8,1784241462.9800453
,,34.81,1784241464.027636
,,34.83,1784241465.0770617
,,34.79,1784241466.1255171
,,34.79,1784241467.1726744
,,34.77,1784241468.2181258
,,34.9,1784241469.2673573
,,34.82,1784241470.3125226
,,34.83,1784241471.3597846
,,34.87,1784241472.4094946
,,34.81,1784241473.4564426
,,34.88,1784241474.503173
,,34.87,1784241475.5552561
,,34.9,1784241476.6028643
,,34.87,1784241477.6553624
,,34.94,1784241478.7039576
,,34.96,1784241479.752478
,,34.98,1784241480.8018224
,,35.0,1784241481.8470979
,,35.04,1784241482.8990812
,,34.99,1784241483.9476602
,,35.04,1784241484.9965749
