gpu_mem_total_mib,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,gpu_util_pct,t
,,0.0,13.45,0.0,1785367959.2742462
,,0.0,20.98,89.0,1785367960.304374
,,0.0,34.38,90.0,1785367961.3515408
,,0.0,38.07,93.0,1785367962.3962216
,,0.0,40.0,90.0,1785367963.4363804
,,0.0,40.42,94.0,1785367964.4765775
,,0.0,41.29,94.0,1785367965.5455153
,,0.0,48.87,87.0,1785367966.5913813
,,0.0,53.26,87.0,1785367967.6401513
,,0.0,50.44,95.0,1785367968.6795156
,,0.0,53.29,90.0,1785367969.744809
,,0.0,46.86,96.0,1785367970.7854965
,,0.0,61.19,96.0,1785367971.8257868
,,0.0,56.67,96.0,1785367972.8651953
,,0.0,60.64,96.0,1785367973.9104097
,,0.0,56.68,77.0,1785367974.9460607
,,0.0,59.97,74.0,1785367975.9887152
,,0.0,56.99,74.0,1785367977.0281286
,,0.0,45.7,95.0,1785367978.070094
,,0.0,46.34,95.0,1785367979.096986
,,0.0,66.11,96.0,1785367980.1299796
,,0.0,64.65,96.0,1785367981.1635623
,,0.0,60.67,96.0,1785367982.2043636
,,0.0,65.19,74.0,1785367983.239708
,,0.0,64.29,96.0,1785367984.2900617
,,0.0,62.67,72.0,1785367985.346009
,,0.0,65.29,96.0,1785367986.3840237
,,0.0,60.2,96.0,1785367987.4306982
,,0.0,18.46,29.0,1785367988.4722369
,,0.0,17.68,0.0,1785367989.4979506
,,0.0,17.4,0.0,1785367990.5232291
,,0.0,14.98,0.0,1785367991.5491056
,,0.0,16.76,62.0,1785367992.5827534
,,0.0,23.43,0.0,1785367993.605959
,,0.0,16.74,18.0,1785367994.6299303
,,0.0,20.54,0.0,1785367995.664201
,,0.0,20.73,0.0,1785367996.6888697
,,0.0,16.61,90.0,1785367997.7144163
,,0.0,33.96,0.0,1785367998.7397041
,,0.0,25.86,0.0,1785367999.773392
,,0.0,25.79,96.0,1785368000.7986434
,,0.0,36.18,15.0,1785368001.8244405
,,0.0,29.1,0.0,1785368002.8686786
,,0.0,26.01,0.0,1785368003.8996315
,,0.0,32.6,96.0,1785368004.9250581
,,0.0,35.03,0.0,1785368005.969691
,,0.0,63.72,96.0,1785368007.024831
,,0.0,40.45,0.0,1785368008.0552511
,,0.0,38.25,0.0,1785368009.0946393
,,0.0,38.17,76.0,1785368010.1472156
,,0.0,38.15,96.0,1785368011.188027
,,0.0,38.27,96.0,1785368012.2320013
,,0.0,38.45,96.0,1785368013.2885323
,,0.0,37.83,96.0,1785368014.3275702
,,0.0,38.26,77.0,1785368015.3614938
,,0.0,37.89,0.0,1785368016.411527
,,0.0,61.96,96.0,1785368017.4640734
,,0.0,68.62,96.0,1785368018.513886
,,0.0,72.55,96.0,1785368019.5530052
,,0.0,75.78,96.0,1785368020.5797913
,,0.0,77.32,96.0,1785368021.6048172
,,0.0,42.5,0.0,1785368022.6457615
,,0.0,42.18,15.0,1785368023.6735585
,,0.0,52.22,96.0,1785368024.708075
,,0.0,53.24,96.0,1785368025.732619
,,0.0,52.42,96.0,1785368026.7577083
,,0.0,49.51,0.0,1785368027.78414
,,0.0,40.72,0.0,1785368028.817789
,,0.0,41.75,0.0,1785368029.8558807
,,0.0,41.39,96.0,1785368030.8985584
,,0.0,44.02,96.0,1785368031.9347632
,,0.0,60.91,96.0,1785368032.9585412
,,0.0,32.92,93.0,1785368034.0018907
,,0.0,32.79,93.0,1785368035.0483508
,,0.0,32.84,93.0,1785368036.0958018
,,0.0,32.76,93.0,1785368037.144344
,,0.0,32.75,93.0,1785368038.1911976
,,0.0,33.91,93.0,1785368039.2358708
,,0.0,32.88,93.0,1785368040.2849243
,,0.0,32.79,93.0,1785368041.3362014
,,0.0,32.71,93.0,1785368042.382803
,,0.0,32.71,92.0,1785368043.4303732
,,0.0,32.75,93.0,1785368044.4777865
,,0.0,32.79,93.0,1785368045.525758
,,0.0,32.88,93.0,1785368046.5738785
